18:16:19.185 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Using download directory [mocked directory] /scratch/dginelli/workspace/repairnator-repairnator-experiments-Wikidata-Wikidata-Toolkit-374912266-20180504-162735-firstCommit/wdtk-dumpfiles/dumpfiles/wikidatawiki
18:16:19.194 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 1 local dumps of type JSON: [wikidatawiki-json-20150223]
18:16:19.390 [main] INFO  o.w.w.d.JsonDumpFileProcessor - Processing JSON dump file wikidatawiki-json-20150223
18:16:19.539 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Starting processing.
18:16:21.690 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Processed 100 entities in 2 sec (50 per second)
18:16:21.691 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Timeout. Aborting processing.
18:16:21.701 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Using download directory [mocked directory] /scratch/dginelli/workspace/repairnator-repairnator-experiments-Wikidata-Wikidata-Toolkit-374912266-20180504-162735-firstCommit/wdtk-dumpfiles/dumpfiles/wikidatawiki
18:16:21.708 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 1 local dumps of type JSON: [wikidatawiki-json-20150223]
18:16:21.721 [main] INFO  o.w.w.d.JsonDumpFileProcessor - Processing JSON dump file wikidatawiki-json-20150223
18:16:21.767 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Starting processing.
18:16:21.829 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Finished processing.
18:16:21.829 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Processed 101 entities in 2 sec (50 per second)
18:16:21.835 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Using download directory [mocked directory] /scratch/dginelli/workspace/repairnator-repairnator-experiments-Wikidata-Wikidata-Toolkit-374912266-20180504-162735-firstCommit/wdtk-dumpfiles/dumpfiles/wikidatawiki
18:16:21.836 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 1 local dumps of type JSON: [wikidatawiki-json-20150223]
18:16:21.837 [main] INFO  o.w.w.d.JsonDumpFileProcessor - Processing JSON dump file wikidatawiki-json-20150223
18:16:21.870 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Starting processing.
18:16:21.920 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Finished processing.
18:16:21.920 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Processed 101 entities in 2 sec (50 per second)
18:16:21.923 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Using download directory [mocked directory] /scratch/dginelli/workspace/repairnator-repairnator-experiments-Wikidata-Wikidata-Toolkit-374912266-20180504-162735-firstCommit/wdtk-dumpfiles/dumpfiles/wikidatawiki
18:16:21.924 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 1 local dumps of type JSON: [wikidatawiki-json-20150223]
18:16:21.928 [main] INFO  o.w.w.d.JsonDumpFileProcessor - Processing JSON dump file wikidatawiki-json-20150223
18:16:21.937 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Starting processing.
18:16:21.956 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Finished processing.
18:16:21.957 [main] INFO  o.w.w.dumpfiles.EntityTimerProcessor - Processed 3 entities in 2 sec (1 per second)
18:16:22.094 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Using download directory [mocked directory] /scratch/dginelli/workspace/repairnator-repairnator-experiments-Wikidata-Wikidata-Toolkit-374912266-20180504-162735-firstCommit/wdtk-dumpfiles/dumpfiles/wikidatawiki
18:16:22.143 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 1 local dumps of type FULL: [wikidatawiki-full-20140418]
18:16:22.144 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 4 local dumps of type DAILY: [wikidatawiki-daily-20140420, wikidatawiki-daily-20140419, wikidatawiki-daily-20140418, wikidatawiki-daily-20140417]
18:16:22.144 [main] INFO  o.w.w.d.wmf.WmfDumpFileManager - Found 3 relevant dumps to process:
 * wikidatawiki-daily-20140420
 * wikidatawiki-daily-20140419
 * wikidatawiki-full-20140418
18:16:22.149 [main] INFO  o.w.w.d.MwRevisionDumpFileProcessor - Processing revision dump file wikidatawiki-daily-20140420
18:16:22.156 [main] INFO  o.w.w.d.StatisticsMwRevisionProcessor - [stats] Starting processing run for "Wikidata Toolkit Test" (http://example.org/wiki/Main_Page).
18:16:22.156 [main] INFO  o.w.w.d.StatisticsMwRevisionProcessor - [stats] Namespaces: {-1=Special, 0=, -2=Media, 1=Talk, 120=Property, 121=Property talk, 1198=Translations, 1199=Translations talk}
